field_id,lat,lon,date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS10M
271623002471299,47.0643,-95.9458,2020-01-01,-16.98,-13.88,-20.08,0.0,3.77,78.58,1.75
271623002471299,47.0643,-95.9458,2020-01-02,-15.89,-12.2,-19.58,0.0,3.57,81.5,5.75
271623002471299,47.0643,-95.9458,2020-01-03,-15.17,-10.57,-19.77,0.0,4.55,81.66,5.97
271623002471299,47.0643,-95.9458,2020-01-04,-16.8,-11.58,-22.02,0.62,4.05,90.97,7.12
271623002471299,47.0643,-95.9458,2020-01-05,-17.56,-15.17,-19.95,1.39,5.3,84.31,1.73
271623002471299,47.0643,-95.9458,2020-01-06,-23.62,-20.11,-27.13,2.65,2.89,68.1,1.98
271623002471299,47.0643,-95.9458,2020-01-07,-20.59,-18.41,-22.77,0.0,2.63,79.04,4.59
271623002471299,47.0643,-95.9458,2020-01-08,-17.08,-13.97,-20.19,0.68,5.65,76.11,4.75
271623002471299,47.0643,-95.9458,2020-01-09,-17.89,-13.3,-22.48,0.28,10.4,79.27,3.11
271623002471299,47.0643,-95.9458,2020-01-10,-22.8,-18.24,-27.36,1.73,9.81,87.54,1.83
271623002471299,47.0643,-95.9458,2020-01-11,-17.28,-14.02,-20.54,0.0,5.32,84.58,7.48
271623002471299,47.0643,-95.9458,2020-01-12,-15.85,-11.23,-20.47,0.0,3.22,87.57,3.15
271623002471299,47.0643,-95.9458,2020-01-13,-17.61,-13.36,-21.86,0.0,6.69,65.24,2.38
271623002471299,47.0643,-95.9458,2020-01-14,-18.88,-12.89,-24.87,0.0,5.92,82.07,4.25
271623002471299,47.0643,-95.9458,2020-01-15,-14.77,-9.6,-19.94,0.0,7.19,87.22,4.57
271623002471299,47.0643,-95.9458,2020-01-16,-14.43,-8.55,-20.31,0.02,4.95,77.78,1.77
271623002471299,47.0643,-95.9458,2020-01-17,-19.42,-14.86,-23.98,0.0,4.65,71.93,4.66
271623002471299,47.0643,-95.9458,2020-01-18,-12.61,-9.56,-15.66,0.0,3.72,87.66,6.98
271623002471299,47.0643,-95.9458,2020-01-19,-16.05,-11.49,-20.61,0.25,3.74,80.78,2.14
271623002471299,47.0643,-95.9458,2020-01-20,-16.93,-14.93,-18.93,0.0,2.33,98.26,4.42
271623002471299,47.0643,-95.9458,2020-01-21,-14.05,-10.82,-17.28,0.0,2.18,93.95,1.48
271623002471299,47.0643,-95.9458,2020-01-22,-14.96,-12.68,-17.24,2.18,7.01,86.26,5.23
271623002471299,47.0643,-95.9458,2020-01-23,-19.27,-13.78,-24.76,0.0,5.02,82.32,5.81
271623002471299,47.0643,-95.9458,2020-01-24,-17.57,-14.32,-20.82,1.57,4.06,71.0,4.69
271623002471299,47.0643,-95.9458,2020-01-25,-16.03,-12.68,-19.38,0.39,7.05,80.49,4.57
271623002471299,47.0643,-95.9458,2020-01-26,-18.49,-12.87,-24.11,0.11,4.59,80.79,6.22
271623002471299,47.0643,-95.9458,2020-01-27,-16.91,-11.17,-22.65,0.96,7.32,83.0,1.34
271623002471299,47.0643,-95.9458,2020-01-28,-16.73,-13.01,-20.45,0.0,7.17,67.19,4.5
271623002471299,47.0643,-95.9458,2020-01-29,-20.41,-18.02,-22.8,0.0,1.0,71.34,6.53
